id,name,position_gw1,team_gw1,prob_injury_gw1,xcost_gw1,xmins_gw1,xpts_gw1,position_gw2,team_gw2,prob_injury_gw2,xcost_gw2,xmins_gw2,xpts_gw2,position_gw3,team_gw3,prob_injury_gw3,xcost_gw3,xmins_gw3,xpts_gw3,position_gw4,team_gw4,prob_injury_gw4,xcost_gw4,xmins_gw4,xpts_gw4,total_xmins,total_xpts
327,Andreas,MID,FUL,0.0,5.5,0.0,0.0,MID,FUL,0.0,5.4,0.0,0.0,MID,FUL,1.0,5.3,0.0,0.0,MID,FUL,1.0,5.3,0.0,0.0,0.0,0.0
328,Sessegnon,MID,FUL,0.25,5.5,0.0,0.0,MID,FUL,0.0,5.4,61.0,2.0,MID,FUL,0.0,5.4,66.0,2.0,MID,FUL,0.0,5.4,90.0,3.0,217.0,7.0
329,Wilson,MID,FUL,0.0,5.5,90.0,5.0,MID,FUL,0.0,5.5,28.0,1.0,MID,FUL,0.0,5.4,30.0,1.0,MID,FUL,0.0,5.4,59.0,1.0,207.0,8.0
330,Berge,MID,FUL,0.0,5.0,65.0,2.0,MID,FUL,0.0,5.0,90.0,2.0,MID,FUL,0.0,5.0,90.0,2.0,MID,FUL,0.0,5.0,83.0,4.0,328.0,10.0
331,Cairney,MID,FUL,0.0,5.0,24.0,0.0,MID,FUL,0.0,5.0,0.0,0.0,MID,FUL,0.0,4.9,0.0,0.0,MID,FUL,0.0,4.9,6.0,1.0,30.0,1.0
332,Lukić,MID,FUL,0.0,5.0,90.0,2.0,MID,FUL,0.0,5.0,90.0,3.0,MID,FUL,0.0,5.0,90.0,1.0,MID,FUL,0.0,5.0,90.0,6.0,360.0,12.0
333,Godo,MID,FUL,0.0,4.5,0.0,0.0,MID,FUL,0.0,4.5,0.0,0.0,MID,FUL,1.0,4.5,0.0,0.0,MID,FUL,1.0,4.5,0.0,0.0,0.0,0.0
334,Harris,MID,FUL,1.0,4.5,0.0,0.0,MID,FUL,1.0,4.5,0.0,0.0,MID,FUL,1.0,4.5,0.0,0.0,MID,FUL,1.0,4.5,0.0,0.0,0.0,0.0
335,King,MID,FUL,0.0,4.5,76.0,2.0,MID,FUL,0.0,4.5,70.0,2.0,MID,FUL,0.0,4.5,66.0,2.0,MID,FUL,0.0,4.5,59.0,1.0,271.0,7.0
336,Reed,MID,FUL,0.0,4.5,0.0,0.0,MID,FUL,0.0,4.5,0.0,0.0,MID,FUL,0.0,4.4,0.0,0.0,MID,FUL,0.0,4.4,0.0,0.0,0.0,0.0
337,Raúl,FWD,FUL,0.0,6.5,65.0,2.0,FWD,FUL,0.0,6.4,19.0,1.0,FWD,FUL,0.0,6.4,31.0,1.0,FWD,FUL,0.0,6.3,6.0,1.0,121.0,5.0
338,Muniz,FWD,FUL,0.0,5.5,24.0,7.0,FWD,FUL,0.0,5.5,70.0,0.0,FWD,FUL,0.0,5.5,58.0,1.0,FWD,FUL,0.0,5.5,83.0,2.0,235.0,10.0
339,Meslier,GKP,LEE,0.0,4.5,0.0,0.0,GKP,LEE,0.0,4.5,0.0,0.0,GKP,LEE,0.0,4.4,0.0,0.0,GKP,LEE,0.0,4.4,0.0,0.0,0.0,0.0
340,Cairns,GKP,LEE,0.0,4.0,0.0,0.0,GKP,LEE,0.0,4.0,0.0,0.0,GKP,LEE,0.0,4.0,0.0,0.0,GKP,LEE,0.0,4.0,0.0,0.0,0.0,0.0
341,Darlow,GKP,LEE,0.0,4.0,0.0,0.0,GKP,LEE,0.0,4.0,0.0,0.0,GKP,LEE,0.0,4.0,0.0,0.0,GKP,LEE,0.0,4.0,90.0,3.0,90.0,3.0
342,Bogle,DEF,LEE,0.25,4.5,90.0,6.0,DEF,LEE,0.0,4.5,82.0,-1.0,DEF,LEE,0.0,4.5,90.0,6.0,DEF,LEE,0.0,4.5,90.0,2.0,352.0,13.0
343,Struijk,DEF,LEE,0.0,4.5,90.0,8.0,DEF,LEE,0.0,4.5,90.0,0.0,DEF,LEE,0.0,4.5,90.0,6.0,DEF,LEE,0.0,4.5,90.0,2.0,360.0,16.0
344,Bijol,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,0.0,0.0
345,Bornauw,DEF,LEE,0.25,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,0.0,0.0
346,Byram,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,7.0,1.0,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,7.0,1.0
347,Gudmundsson,DEF,LEE,0.0,4.0,90.0,9.0,DEF,LEE,0.0,4.0,90.0,-1.0,DEF,LEE,0.25,4.0,79.0,9.0,DEF,LEE,0.0,4.0,90.0,0.0,349.0,17.0
348,Rodon,DEF,LEE,0.0,4.0,90.0,7.0,DEF,LEE,0.0,4.0,90.0,2.0,DEF,LEE,0.25,4.0,90.0,7.0,DEF,LEE,0.0,4.0,90.0,4.0,360.0,20.0
349,Schmidt,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,0.0,4.0,0.0,0.0,DEF,LEE,1.0,4.0,0.0,0.0,DEF,LEE,1.0,4.0,0.0,0.0,0.0,0.0
350,Aaronson,MID,LEE,0.0,5.5,23.0,1.0,MID,LEE,0.0,5.4,24.0,1.0,MID,LEE,0.0,5.4,30.0,1.0,MID,LEE,0.0,5.4,76.0,5.0,153.0,8.0
351,Gnonto,MID,LEE,0.0,5.5,66.0,3.0,MID,LEE,0.0,5.5,65.0,2.0,MID,LEE,0.0,5.4,59.0,0.0,MID,LEE,0.0,5.4,1.0,1.0,191.0,6.0
352,Harrison,MID,LEE,0.0,5.5,12.0,1.0,MID,LEE,0.0,5.4,0.0,0.0,MID,LEE,0.0,5.4,30.0,1.0,MID,LEE,0.0,5.3,22.0,1.0,64.0,3.0
353,James,MID,LEE,0.0,5.5,77.0,3.0,MID,LEE,0.0,5.5,65.0,2.0,MID,LEE,0.0,5.4,59.0,1.0,MID,LEE,0.25,5.4,11.0,1.0,212.0,7.0
354,Ampadu,MID,LEE,0.0,5.0,77.0,3.0,MID,LEE,1.0,5.0,0.0,0.0,MID,LEE,1.0,4.9,0.0,0.0,MID,LEE,0.0,4.9,90.0,4.0,167.0,7.0
