name,position,cost,xmins,ep_gw24,ep_gw25,ep_gw26
P.M.Sarr,MID,4.8,59,2.1,2.6,1.8
Kinsky,GKP,4.5,92,3.3,2.5,0.7
O'Shea,DEF,4.0,86,3.1,1.4,2.0
Walker-Peters,DEF,4.3,88,2.5,1.9,2.1
Ugarte,MID,4.9,73,2.3,2.1,2.1
Partey,MID,4.9,60,1.9,2.5,2.0
Garner,MID,4.9,39,3.1,1.6,1.7
Mainoo,MID,5.2,54,2.0,2.1,2.3
Estupiñan,DEF,5.0,28,0.3,2.7,3.4
Kovačić,MID,5.4,64,2.0,2.3,2.0
Bergvall,MID,4.4,71,2.3,2.5,1.4
Guedes,MID,5.3,54,2.6,1.8,1.7
Georginio,MID,5.1,32,1.7,2.0,2.5
Adams,MID,4.9,86,2.2,2.0,1.9
C.Soler,MID,5.0,65,2.4,2.1,1.5
Kristiansen,DEF,4.5,89,2.2,1.3,2.5
Harwood-Bellis,DEF,4.0,88,2.3,1.8,1.9
Yates,MID,4.9,61,2.1,2.0,1.8
Jensen,MID,5.3,47,2.0,2.0,2.0
Lerma,MID,4.8,69,2.2,2.1,1.6
Cajuste,MID,4.5,66,2.3,1.7,1.9
Bednarek,DEF,4.0,90,2.2,1.7,1.9
Calvert-Lewin,FWD,5.4,66,0.8,1.8,3.2
Wharton,MID,4.7,45,1.7,2.0,2.1
A. Armstrong,FWD,5.1,35,2.0,2.0,1.8
Justin,DEF,4.2,83,2.1,1.3,2.3
Aït-Nouri,DEF,4.7,87,2.8,1.1,1.8
Savinho,MID,6.3,43,2.0,2.0,1.6
Eze,MID,6.7,0,0.0,2.1,3.5
Kamaldeen,MID,5.0,41,1.9,1.7,2.0
Nkunku,MID,5.7,27,1.9,1.9,1.7
André,MID,5.0,84,2.3,1.7,1.6
Emerson,DEF,4.4,65,1.7,2.6,1.2
Wan-Bissaka,DEF,4.5,89,1.8,2.6,1.1
Jones,MID,5.3,32,0.8,2.8,2.0
Álvarez,MID,5.0,68,1.9,2.0,1.6
Stones,DEF,5.3,59,1.6,2.2,1.6
Bissouma,MID,4.8,55,1.7,2.1,1.6
Nedeljkovic,DEF,3.9,35,1.3,2.8,1.2
Nketiah,FWD,5.9,40,1.9,1.9,1.5
Faes,DEF,3.9,88,2.0,1.1,2.2
Sarabia,MID,5.0,41,2.2,1.5,1.6
Merino,MID,6.0,32,1.5,1.9,2.0
Kilman,DEF,4.3,84,1.6,2.7,1.0
Lewis-Skelly,MID,4.5,52,1.7,2.0,1.6
Minteh,MID,5.0,34,1.7,1.5,2.1
Maguire,DEF,4.9,60,2.1,1.4,1.7
Vestergaard,DEF,3.9,84,1.9,1.1,2.2
Ugochukwu,MID,4.4,58,1.7,1.8,1.7
Botman,DEF,4.4,39,1.6,1.2,2.4
B.Soumaré,MID,4.4,81,2.0,1.7,1.5
Aribo,MID,4.9,54,2.0,1.5,1.6
Esse,MID,5.0,40,1.9,1.8,1.4
Sterling,MID,6.7,17,1.1,1.8,2.2
A. Garcia,DEF,4.5,30,1.2,2.7,1.1
A. Young,DEF,4.6,33,2.7,1.1,1.2
Kamada,MID,5.1,38,1.8,1.8,1.4
Jota Silva,MID,5.9,41,2.2,1.5,1.3
Gündogan,MID,6.4,37,1.4,1.9,1.6
Bradley,DEF,4.7,20,1.9,2.2,0.9
Tsimikas,DEF,4.6,20,1.9,2.2,0.8
Maatsen,DEF,4.5,30,1.3,2.5,1.1
Burn,DEF,4.4,60,2.2,1.1,1.6
N.Semedo,DEF,4.5,88,2.4,0.9,1.6
Vicario,GKP,4.8,0,0.0,1.9,3.0
Greaves,DEF,3.9,58,2.1,1.1,1.6
Gruda,MID,5.4,33,1.5,1.7,1.6
R. Lewis,DEF,4.4,45,1.2,2.0,1.6
Spence,DEF,4.4,60,1.9,1.7,1.2
Gusto,DEF,4.9,46,2.1,1.5,1.1
Summerville,MID,5.6,20,0.3,2.3,2.1
Ferguson,FWD,5.5,13,0.6,2.3,1.8
R. Nelson,MID,5.0,0,0.0,2.0,2.6
Bree,DEF,3.9,54,1.9,1.5,1.2
Hirst,FWD,5.4,25,1.7,1.3,1.5
Dominguez,MID,4.8,45,1.9,1.4,1.3
Buonanotte,MID,4.7,35,1.6,1.5,1.5
Mavropanos,DEF,4.3,78,1.7,2.1,0.8
Dragusin,DEF,4.3,72,0.6,2.4,1.6
Agbadou,DEF,4.0,85,2.2,0.8,1.5
Tuanzebe,DEF,3.9,53,2.0,1.0,1.5
João Félix,MID,5.9,20,1.4,1.6,1.3
Doyle,MID,4.8,64,2.3,1.1,1.0
Willock,MID,4.7,33,1.7,1.3,1.4
S.Bueno,DEF,4.3,82,2.1,0.8,1.4
Bellegarde,MID,4.9,49,2.0,1.2,1.1
Khusanov,DEF,5.0,62,1.4,1.5,1.3
Brennan Johnson,MID,6.2,0,0.0,1.8,2.4
Archer,FWD,5.0,19,1.1,1.6,1.5
Lamptey,DEF,4.4,56,2.2,0.9,1.2
Grønbæk,MID,5.0,35,1.5,1.4,1.3
Hinshelwood,MID,4.9,41,1.5,1.2,1.4
J.Gomes,MID,4.9,0,0.0,2.0,2.1
Yoro,DEF,4.3,43,1.6,1.2,1.3
Stephens,DEF,4.0,32,1.0,1.4,1.8
Matheus N.,MID,4.9,49,1.6,1.3,1.3
Hudson-Odoi,MID,5.2,0,0.0,1.4,2.7
Grealish,MID,6.4,30,1.3,1.5,1.3
Udogie,DEF,4.8,0,0.0,1.7,2.4
Manning,DEF,4.3,40,1.6,1.2,1.3
Sánchez,GKP,4.7,23,0.9,1.6,1.5
Gomez,DEF,4.7,20,1.5,1.6,0.9
Smith,DEF,4.4,0,0.0,1.3,2.6
Bogarde,DEF,4.0,35,1.4,2.0,0.4
Romero,DEF,4.9,0,0.0,1.4,2.4
Daka,FWD,4.8,23,1.2,1.1,1.4
Toti,DEF,4.3,56,1.5,0.8,1.5
Carvalho,MID,4.6,23,1.5,1.1,1.1
Coufal,DEF,4.1,51,1.3,1.7,0.8
Strand Larsen,FWD,5.3,0,0.0,1.2,2.4
Sangaré,MID,4.3,34,1.3,1.2,1.1
R.Gomes,MID,5.1,33,1.5,1.0,1.0
O'Riley,MID,5.5,35,1.5,1.2,0.9
Aké,DEF,5.3,0,0.0,1.6,1.9
Phillips,MID,4.8,32,1.2,1.2,1.1
Downes,MID,4.7,42,1.4,1.0,1.1
Adingra,MID,5.2,23,1.3,1.0,1.2
Jebbison,FWD,4.5,19,1.0,1.5,0.9
Odobert,MID,5.3,0,0.0,1.4,2.0
Yarmoliuk,MID,4.4,23,1.1,1.1,1.2
Iroegbunam,MID,4.3,23,1.6,0.9,0.9
G.Rodríguez,MID,4.8,34,1.1,1.2,1.0
McAteer,MID,4.7,18,0.9,1.2,1.2
Moore,MID,4.5,39,1.8,0.9,0.5
Patterson,DEF,4.4,22,1.7,0.5,1.0
Broadhead,MID,4.9,27,1.6,0.9,0.7
Gray,MID,4.6,71,1.9,0.8,0.5
Trippier,DEF,5.6,21,1.1,0.9,1.2
Cairney,MID,4.8,18,0.8,1.3,1.0
Mings,DEF,4.4,0,0.0,1.0,2.0
Ings,FWD,5.0,38,1.9,0.7,0.4
B. Davies,DEF,4.3,54,1.6,0.8,0.6
Doku,MID,6.2,0,0.0,1.4,1.6
Malacia,DEF,4.4,29,1.3,0.9,0.8
Sugawara,DEF,4.2,27,1.1,0.9,0.9
Maddison,MID,7.4,0,0.0,1.3,1.6
Todibo,DEF,4.2,25,0.3,1.6,1.0
De Cordova-Reid,MID,5.2,19,0.9,0.9,1.0
Amadou Onana,MID,4.8,0,0.0,1.7,1.1
Longstaff,MID,4.5,17,0.8,0.9,1.0
Ben Johnson,DEF,3.9,27,1.1,0.6,1.0
Skipp,MID,4.7,25,0.9,1.0,0.8
Chiesa,MID,6.8,6,1.1,1.1,0.5
Kayode,DEF,4.5,17,0.6,1.0,1.0
N. Neto,GKP,4.1,46,1.7,0.6,0.2
Cresswell,DEF,3.9,37,1.1,1.0,0.5
Elliott,MID,5.2,10,1.3,0.9,0.4
Szmodics,MID,5.7,0,0.0,0.8,1.7
Barkley,MID,5.2,0,0.0,1.3,1.1
Welington,DEF,4.0,30,1.0,0.7,0.7
Chaplin,MID,5.1,0,0.0,0.8,1.6
Mount,MID,6.3,0,0.0,0.9,1.4
C. Wilson,FWD,6.9,0,0.0,0.7,1.7
Ward-Prowse,MID,6.1,15,0.8,0.9,0.6
Scott,MID,4.7,0,0.0,0.9,1.5
Danilo,MID,4.7,17,0.8,0.7,0.8
Doherty,DEF,4.3,35,1.2,0.4,0.7
Werner,MID,6.2,0,0.0,1.2,1.1
Ajer,DEF,4.4,21,0.8,0.8,0.7
Sinisterra,MID,4.8,6,0.2,0.9,1.1
Dúbravka,GKP,4.3,50,2.0,0.1,0.1
Awoniyi,FWD,5.5,12,0.8,0.6,0.7
Morato,DEF,4.5,14,0.5,1.0,0.7
Hill,DEF,3.9,0,0.0,0.9,1.3
Sosa,MID,5.5,14,0.9,0.8,0.5
Clyne,DEF,4.3,12,0.4,1.0,0.7
Thiago,FWD,5.9,0,0.0,0.6,1.5
Ndidi,MID,4.9,0,0.0,0.4,1.7
Fabianski,GKP,4.1,16,0.5,0.8,0.8
Sessegnon,DEF,4.1,12,0.4,0.9,0.7
Godfrey,DEF,4.0,22,0.9,0.5,0.7
Keane,DEF,3.9,11,0.8,0.5,0.7
Wieffer,MID,4.7,12,0.2,0.7,1.1
Alex Moreno,DEF,4.2,18,0.8,0.6,0.5
L.Guilherme,MID,4.6,24,1.1,0.4,0.4
J.Clarke,MID,5.4,14,0.9,0.5,0.5
Stolarczyk,GKP,4.0,45,1.6,0.2,0.1
Tosin,DEF,4.2,19,0.8,0.5,0.7
McAtee,MID,4.6,11,0.6,0.7,0.5
Reed,MID,4.7,9,0.4,0.7,0.7
Webster,DEF,4.3,17,0.6,0.5,0.7
Burgess,DEF,3.9,20,0.7,0.4,0.7
Shaw,DEF,4.9,0,0.0,0.5,1.2
Lankshear,FWD,4.5,25,1.0,0.5,0.2
Eriksen,MID,5.2,13,0.7,0.6,0.3
Coady,DEF,4.0,16,0.4,0.4,0.8
Winterburn,MID,4.5,16,0.6,0.5,0.4
B. White,DEF,6.1,0,0.0,0.6,1.0
Zinchenko,DEF,4.8,10,0.5,0.7,0.4
Diop,DEF,4.4,7,0.2,0.7,0.8
Lavia,MID,4.5,0,0.0,0.5,1.1
F.Kadıoğlu,DEF,4.4,0,0.0,0.2,1.3
Ortega Moreno,GKP,5.2,15,0.5,0.5,0.5
Jorginho,MID,4.7,8,0.4,0.6,0.6
Endo,MID,4.6,7,0.7,0.5,0.3
Mee,DEF,4.2,21,0.8,0.2,0.5
H. Armstrong,MID,4.4,10,0.9,0.3,0.2
Osula,FWD,4.9,9,0.7,0.4,0.3
Vinicius,FWD,5.0,5,0.4,0.6,0.5
Coulibaly,DEF,4.0,15,0.5,0.3,0.6
March,MID,6.5,7,0.2,0.5,0.6
M.França,MID,4.4,9,0.5,0.4,0.4
Coleman,DEF,4.3,18,0.2,0.3,0.8
Forbs,MID,5.5,10,0.4,0.4,0.4
Woolfenden,DEF,4.0,14,0.5,0.3,0.4
Mario Jr.,MID,4.8,0,0.0,0.4,0.7
Casemiro,MID,4.7,10,0.5,0.3,0.3
Kelly,DEF,4.2,7,0.3,0.3,0.5
Devenny,MID,4.5,6,0.4,0.3,0.3
J. King,MID,4.5,4,0.3,0.4,0.3
Smallbone,MID,5.0,3,0.2,0.4,0.4
Collyer,MID,4.5,11,0.5,0.3,0.2
Kuol,MID,4.4,2,0.3,0.2,0.5
Maghoma,MID,4.5,7,0.3,0.4,0.3
Dewsbury-Hall,MID,5.5,6,0.3,0.4,0.2
J. Taylor,MID,4.8,7,0.4,0.4,0.2
Soler,DEF,4.0,4,0.2,0.4,0.3
Henry,DEF,4.3,0,0.0,0.4,0.5
Irving,MID,4.8,8,0.4,0.4,0.2
Bobb,MID,4.7,5,0.3,0.3,0.3
Vitor Reis,DEF,4.5,8,0.2,0.4,0.3
Chukwuemeka,MID,4.7,4,0.3,0.4,0.2
Solanke,FWD,7.4,0,0.0,0.0,0.9
Füllkrug,FWD,6.7,0,0.0,0.0,0.8
Schlupp,MID,4.6,2,0.2,0.3,0.3
