name,position,cost,xmins,ep_gw20,ep_gw21,ep_gw22
Kilman,DEF,4.4,91,1.3,2.7,2.7
Van Hecke,DEF,4.5,89,1.7,2.9,2.1
C.Soler,MID,5.0,51,1.9,2.4,2.4
Baleba,MID,5.0,72,2.1,2.5,2.0
Winks,MID,4.5,75,2.1,2.3,2.2
Zabarnyi,DEF,4.4,90,3.1,1.7,1.9
Mavropanos,DEF,4.3,80,1.3,2.8,2.5
Morsy,MID,4.9,91,2.2,2.3,2.1
Justin,DEF,4.2,81,1.8,2.5,2.3
Kamara,MID,5.0,77,2.5,2.1,1.9
Barnes,MID,6.0,31,1.9,2.3,2.3
Collins,DEF,4.6,87,3.1,1.9,1.5
Kristiansen,DEF,4.5,91,1.7,2.5,2.3
Tarkowski,DEF,4.8,88,2.0,2.0,2.4
Rogers,MID,5.5,0,0.0,3.6,2.8
Jensen,MID,5.3,52,2.3,2.2,2.0
Dragusin,DEF,4.3,84,2.5,1.3,2.5
Burn,DEF,4.4,88,2.4,2.4,1.5
Konaté,DEF,5.1,32,0.7,2.6,2.9
Álvarez,MID,5.0,72,1.9,2.2,2.1
Ugarte,MID,4.9,71,1.8,2.3,2.1
McNeil,MID,5.2,40,0.5,2.6,3.2
Gray,MID,4.6,72,2.0,2.0,2.2
Adama,MID,4.7,42,2.6,1.6,1.9
Spence,DEF,4.4,67,2.2,1.4,2.6
Botman,DEF,4.4,65,1.5,2.3,2.3
Maguire,DEF,4.9,70,1.0,3.0,2.2
Lerma,MID,4.8,76,2.3,2.0,1.8
Veltman,DEF,4.5,69,1.6,2.6,1.9
Partey,MID,5.0,81,2.7,1.7,1.6
James,DEF,4.8,24,1.1,1.9,2.9
Walker-Peters,DEF,4.3,91,2.6,1.7,1.7
Ndidi,MID,4.9,59,1.5,2.3,2.2
Nketiah,FWD,5.9,36,1.8,2.1,2.1
Kamada,MID,5.1,57,2.4,1.9,1.7
Coady,DEF,4.0,88,1.5,2.2,2.2
N.Semedo,DEF,4.5,90,2.7,1.6,1.5
Trippier,DEF,5.6,43,1.8,2.0,2.1
Minteh,MID,5.1,55,2.4,1.9,1.5
