id,name,position_gw1,team_gw1,prob_injury_gw1,ep_cost_gw1,xmins_gw1,ep_gw1,position_gw2,team_gw2,prob_injury_gw2,ep_cost_gw2,xmins_gw2,ep_gw2,position_gw3,team_gw3,prob_injury_gw3,ep_cost_gw3,xmins_gw3,ep_gw3,position_gw4,team_gw4,prob_injury_gw4,ep_cost_gw4,xmins_gw4,ep_gw4,position_gw5,team_gw5,prob_injury_gw5,ep_cost_gw5,xmins_gw5,ep_gw5,position_gw6,team_gw6,prob_injury_gw6,ep_cost_gw6,xmins_gw6,ep_gw6,position_gw7,team_gw7,prob_injury_gw7,ep_cost_gw7,xmins_gw7,ep_gw7,position_gw8,team_gw8,prob_injury_gw8,ep_cost_gw8,xmins_gw8,ep_gw8,position_gw9,team_gw9,prob_injury_gw9,ep_cost_gw9,xmins_gw9,ep_gw9,position_gw10,team_gw10,prob_injury_gw10,ep_cost_gw10,xmins_gw10,ep_gw10,position_gw11,team_gw11,prob_injury_gw11,total_xmins,ep_cost_gw11,total_xpts,xmins_gw11,ep_gw11
25,Zinchenko,DEF,ARS,0.0,5.0,68.0,6.0,DEF,ARS,0.0,5.0,0.0,0.0,DEF,ARS,0.0,5.0,10.0,1.0,DEF,ARS,0.25,4.9,0.0,0.0,DEF,ARS,0.5,4.8,0.0,0.0,DEF,ARS,1.0,4.8,0.0,0.0,DEF,ARS,0.5,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,29.0,1.0,DEF,ARS,0.0,107,4.8,8,0.0,0.0
26,Alex Moreno,DEF,AST,0.0,4.5,0.0,0.0,DEF,NOT,0.0,4.5,0.0,0.0,DEF,NOT,0.0,4.4,0.0,0.0,DEF,NOT,0.0,4.4,79.0,6.0,DEF,NOT,0.0,4.4,45.0,0.0,DEF,NOT,0.0,4.4,83.0,2.0,DEF,NOT,0.0,4.4,81.0,2.0,DEF,NOT,0.0,4.4,77.0,6.0,DEF,NOT,0.0,4.4,71.0,1.0,DEF,NOT,0.0,4.4,90.0,9.0,DEF,NOT,0.0,613,4.4,27,87.0,1.0
27,Archer,FWD,SOU,0.0,5.0,19.0,1.0,FWD,SOU,0.0,5.0,18.0,1.0,FWD,SOU,0.0,5.0,45.0,1.0,FWD,SOU,0.0,5.0,61.0,0.0,FWD,SOU,0.0,5.0,58.0,1.0,FWD,SOU,0.0,5.0,14.0,1.0,FWD,SOU,0.0,5.0,63.0,7.0,FWD,SOU,0.0,5.0,67.0,9.0,FWD,SOU,0.0,5.0,86.0,2.0,FWD,SOU,0.0,5.0,90.0,2.0,FWD,SOU,0.0,593,5.0,27,72.0,2.0
28,Bailey,MID,AST,0.0,6.5,73.0,1.0,MID,AST,0.0,6.5,90.0,2.0,MID,AST,0.5,6.4,15.0,1.0,MID,AST,0.5,6.4,0.0,0.0,MID,AST,0.0,6.4,45.0,1.0,MID,AST,0.0,6.4,63.0,5.0,MID,AST,0.0,6.3,62.0,3.0,MID,AST,0.0,6.3,60.0,1.0,MID,AST,0.0,6.3,19.0,4.0,MID,AST,0.0,6.3,9.0,1.0,MID,AST,0.0,500,6.3,21,64.0,2.0
29,Barkley,MID,AST,0.0,5.5,0.0,0.0,MID,AST,0.0,5.4,14.0,1.0,MID,AST,0.0,5.3,28.0,1.0,MID,AST,0.0,5.3,45.0,4.0,MID,AST,0.0,5.3,28.0,0.0,MID,AST,0.0,5.2,6.0,1.0,MID,AST,0.0,5.2,90.0,2.0,MID,AST,0.0,5.2,15.0,1.0,MID,AST,0.0,5.2,45.0,5.0,MID,AST,1.0,5.2,0.0,0.0,MID,AST,0.5,271,5.2,15,0.0,0.0
30,Barrenechea,MID,AST,0.0,5.0,0.0,0.0,MID,AST,0.0,5.0,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,4.9,0.0,0.0,MID,AST,1.0,0,4.9,0,0.0,0.0
31,Buendia,MID,AST,0.0,5.5,0.0,0.0,MID,AST,0.0,5.4,0.0,0.0,MID,AST,0.0,5.4,0.0,0.0,MID,AST,0.0,5.4,6.0,1.0,MID,AST,0.0,5.3,1.0,1.0,MID,AST,0.0,5.3,6.0,1.0,MID,AST,0.0,5.3,0.0,0.0,MID,AST,0.0,5.3,7.0,1.0,MID,AST,0.0,5.3,0.0,0.0,MID,AST,0.0,5.3,0.0,0.0,MID,AST,0.0,20,5.2,4,0.0,0.0
32,Cash,DEF,AST,0.0,4.5,81.0,2.0,DEF,AST,0.25,4.5,15.0,1.0,DEF,AST,1.0,4.4,0.0,0.0,DEF,AST,1.0,4.4,0.0,0.0,DEF,AST,0.5,4.4,0.0,0.0,DEF,AST,0.5,4.4,0.0,0.0,DEF,AST,0.0,4.4,90.0,6.0,DEF,AST,0.0,4.4,90.0,2.0,DEF,AST,0.0,4.4,90.0,1.0,DEF,AST,0.75,4.4,59.0,1.0,DEF,AST,0.5,425,4.4,13,0.0,0.0
33,Dendoncker,MID,AST,0.0,4.5,0.0,0.0,MID,AST,0.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,4.5,0.0,0.0,MID,AST,1.0,0,4.5,0,0.0,0.0
34,Diaby,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,6.5,0.0,0.0,MID,AST,1.0,0,6.5,0,0.0,0.0
35,Diego Carlos,DEF,AST,0.0,4.5,0.0,0.0,DEF,AST,0.0,4.5,0.0,0.0,DEF,AST,0.5,4.5,0.0,0.0,DEF,AST,0.0,4.5,0.0,0.0,DEF,AST,0.0,4.5,90.0,2.0,DEF,AST,0.0,4.5,90.0,1.0,DEF,AST,0.0,4.5,78.0,6.0,DEF,AST,0.0,4.5,90.0,2.0,DEF,AST,0.0,4.5,0.0,0.0,DEF,AST,0.0,4.5,30.0,0.0,DEF,AST,0.0,468,4.5,12,90.0,1.0
36,Digne,DEF,AST,0.0,4.5,73.0,2.0,DEF,AST,0.0,4.5,75.0,2.0,DEF,AST,0.0,4.5,90.0,7.0,DEF,AST,0.0,4.6,68.0,4.0,DEF,AST,0.0,4.6,45.0,1.0,DEF,AST,0.0,4.6,83.0,0.0,DEF,AST,0.0,4.6,84.0,8.0,DEF,AST,0.0,4.6,90.0,4.0,DEF,AST,0.0,4.7,70.0,7.0,DEF,AST,0.0,4.7,90.0,0.0,DEF,AST,0.0,841,4.7,37,73.0,2.0
37,Dobbin,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,5.0,0.0,0.0,MID,AST,1.0,0,5.0,0,0.0,0.0
