id,name,position_gw1,team_gw1,prob_injury_gw1,ep_cost_gw1,xmins_gw1,ep_gw1,position_gw2,team_gw2,prob_injury_gw2,ep_cost_gw2,xmins_gw2,ep_gw2,position_gw3,team_gw3,prob_injury_gw3,ep_cost_gw3,xmins_gw3,ep_gw3,position_gw4,team_gw4,prob_injury_gw4,ep_cost_gw4,xmins_gw4,ep_gw4,position_gw5,team_gw5,prob_injury_gw5,ep_cost_gw5,xmins_gw5,ep_gw5,position_gw6,team_gw6,prob_injury_gw6,ep_cost_gw6,xmins_gw6,ep_gw6,position_gw7,team_gw7,prob_injury_gw7,ep_cost_gw7,xmins_gw7,ep_gw7,position_gw8,team_gw8,prob_injury_gw8,ep_cost_gw8,xmins_gw8,ep_gw8,position_gw9,team_gw9,prob_injury_gw9,ep_cost_gw9,xmins_gw9,ep_gw9,position_gw10,team_gw10,prob_injury_gw10,ep_cost_gw10,xmins_gw10,ep_gw10,position_gw11,team_gw11,prob_injury_gw11,ep_cost_gw11,xmins_gw11,ep_gw11,position_gw12,team_gw12,prob_injury_gw12,total_xmins,ep_cost_gw12,total_xpts,xmins_gw12,ep_gw12
417,Tonali,MID,NEW,1.0,5.5,0.0,0.0,MID,NEW,0.0,5.5,0.0,0.0,MID,NEW,0.0,5.5,22.0,1.0,MID,NEW,0.0,5.5,45.0,1.0,MID,NEW,0.0,5.5,16.0,1.0,MID,NEW,0.0,5.5,77.0,1.0,MID,NEW,0.0,5.5,70.0,3.0,MID,NEW,0.0,5.5,65.0,2.0,MID,NEW,0.0,5.5,67.0,1.0,MID,NEW,0.0,5.5,25.0,0.0,MID,NEW,0.0,5.5,21.0,4.0,MID,NEW,0.0,441,5.5,15,33.0,1.0
418,Trippier,DEF,NEW,0.0,6.0,0.0,0.0,DEF,NEW,0.0,5.9,32.0,1.0,DEF,NEW,0.0,5.8,0.0,0.0,DEF,NEW,0.0,5.8,26.0,1.0,DEF,NEW,0.0,5.8,73.0,1.0,DEF,NEW,0.0,5.7,77.0,2.0,DEF,NEW,0.25,5.7,70.0,8.0,DEF,NEW,1.0,5.7,0.0,0.0,DEF,NEW,1.0,5.6,0.0,0.0,DEF,NEW,1.0,5.6,0.0,0.0,DEF,NEW,0.5,5.6,0.0,0.0,DEF,NEW,0.0,284,5.6,14,6.0,1.0
419,J. White,MID,NEW,0.0,4.5,0.0,0.0,MID,NEW,0.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,4.5,0.0,0.0,MID,NEW,1.0,0,4.5,0,0.0,0.0
420,Willock,MID,NEW,0.0,5.0,0.0,0.0,MID,NEW,0.0,5.0,20.0,1.0,MID,NEW,0.75,4.9,0.0,0.0,MID,NEW,0.0,4.8,45.0,4.0,MID,NEW,0.0,4.8,45.0,1.0,MID,NEW,0.0,4.8,13.0,1.0,MID,NEW,0.0,4.8,21.0,1.0,MID,NEW,0.0,4.8,24.0,1.0,MID,NEW,0.0,4.8,22.0,1.0,MID,NEW,0.0,4.8,64.0,2.0,MID,NEW,0.0,4.8,68.0,2.0,MID,NEW,0.25,367,4.8,15,45.0,1.0
421,C. Wilson,FWD,NEW,1.0,7.0,0.0,0.0,FWD,NEW,1.0,6.9,0.0,0.0,FWD,NEW,0.5,6.9,0.0,0.0,FWD,NEW,1.0,6.9,0.0,0.0,FWD,NEW,1.0,6.9,0.0,0.0,FWD,NEW,1.0,6.9,0.0,0.0,FWD,NEW,0.5,6.9,0.0,0.0,FWD,NEW,0.5,6.9,0.0,0.0,FWD,NEW,1.0,6.9,0.0,0.0,FWD,NEW,1.0,6.9,0.0,0.0,FWD,NEW,0.5,6.9,0.0,0.0,FWD,NEW,0.0,22,6.9,1,22.0,1.0
422,Aina,DEF,NOT,0.25,4.5,53.0,1.0,DEF,NOT,0.0,4.4,90.0,9.0,DEF,NOT,0.0,4.4,90.0,2.0,DEF,NOT,0.0,4.4,90.0,8.0,DEF,NOT,0.0,4.5,90.0,0.0,DEF,NOT,0.0,4.5,90.0,2.0,DEF,NOT,0.0,4.5,90.0,2.0,DEF,NOT,0.0,4.5,90.0,6.0,DEF,NOT,0.0,4.5,90.0,2.0,DEF,NOT,0.0,4.7,88.0,15.0,DEF,NOT,0.0,4.8,90.0,1.0,DEF,NOT,0.0,1041,4.8,48,90.0,0.0
423,Anderson,MID,NOT,0.0,5.0,18.0,1.0,MID,NOT,0.0,5.0,74.0,3.0,MID,NOT,0.0,5.0,90.0,6.0,MID,NOT,0.0,5.0,60.0,3.0,MID,NOT,0.0,5.0,58.0,1.0,MID,NOT,0.0,5.0,56.0,1.0,MID,NOT,0.0,5.0,65.0,2.0,MID,NOT,0.0,5.0,77.0,2.0,MID,NOT,0.0,5.0,71.0,5.0,MID,NOT,0.0,5.0,27.0,3.0,MID,NOT,0.25,5.0,31.0,1.0,MID,NOT,0.25,627,5.0,28,0.0,0.0
424,Awoniyi,FWD,NOT,0.0,6.0,18.0,1.0,FWD,NOT,0.0,5.9,15.0,1.0,FWD,NOT,0.0,5.8,1.0,1.0,FWD,NOT,0.0,5.8,0.0,0.0,FWD,NOT,0.0,5.8,0.0,0.0,FWD,NOT,0.0,5.7,45.0,1.0,FWD,NOT,0.0,5.7,0.0,0.0,FWD,NOT,0.0,5.7,6.0,1.0,FWD,NOT,0.0,5.6,9.0,1.0,FWD,NOT,0.0,5.6,11.0,1.0,FWD,NOT,0.0,5.6,2.0,1.0,FWD,NOT,0.0,169,5.6,10,62.0,2.0
425,Boly,DEF,NOT,0.0,4.5,90.0,2.0,DEF,NOT,0.0,4.5,1.0,1.0,DEF,NOT,0.0,4.5,0.0,0.0,DEF,NOT,0.25,4.5,0.0,0.0,DEF,NOT,0.25,4.4,0.0,0.0,DEF,NOT,0.0,4.3,0.0,0.0,DEF,NOT,0.0,4.3,0.0,0.0,DEF,NOT,0.0,4.3,0.0,0.0,DEF,NOT,0.0,4.3,0.0,0.0,DEF,NOT,0.0,4.3,0.0,0.0,DEF,NOT,0.0,4.3,0.0,0.0,DEF,NOT,0.0,91,4.3,3,0.0,0.0
426,Bowler,MID,NOT,0.0,4.5,0.0,0.0,MID,NOT,0.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,4.5,0.0,0.0,MID,NOT,1.0,0,4.5,0,0.0,0.0
