name,position,cost,xmins_gw4,xmins_gw5,xmins_gw6,xmins_gw7,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7
Chalobah,DEF,5.1,81,72,72,61,3.5,2.8,3.3,2.1
Hudson-Odoi,MID,6.0,67,66,63,63,2.5,3.1,3.6,2.6
Hall,DEF,5.4,53,65,77,72,2.9,2.6,2.7,3.6
McGinn,MID,5.5,75,67,58,51,3.0,3.2,2.8,2.8
Dúbravka,GKP,4.0,92,92,91,92,2.8,3.3,2.7,2.9
Dunk,DEF,4.5,85,84,79,81,2.9,3.3,2.2,3.3
Bassey,DEF,4.5,90,85,84,82,3.5,3.2,2.4,2.5
D. James,MID,5.4,65,56,56,53,3.0,2.9,2.9,2.8
Kamada,MID,5.0,67,67,54,50,3.9,3.1,2.3,2.2
J. King,MID,4.5,70,60,57,58,3.5,3.0,2.4,2.6
Munetsi,MID,5.5,75,73,71,64,2.8,3.3,2.8,2.7
Bobb,MID,5.5,56,48,53,53,3.1,2.1,3.4,2.9
Elliott,MID,5.4,64,67,48,43,2.8,3.5,2.6,2.6
P.M.Sarr,MID,5.0,72,71,66,67,3.0,2.7,3.0,2.7
Gana,MID,5.4,77,77,75,75,3.0,2.6,3.0,2.9
Kilman,DEF,4.4,90,85,81,85,3.3,3.1,2.9,2.1
Casemiro,MID,5.5,72,67,62,62,2.8,2.8,2.7,3.1
Madueke,MID,7.0,68,50,29,31,4.4,2.9,1.7,2.3
Mykolenko,DEF,4.9,59,85,83,82,2.3,1.9,3.8,3.3
Rúben,DEF,5.5,86,77,64,70,3.4,2.1,3.1,2.7
Keane,DEF,4.5,89,79,65,58,3.6,2.2,3.0,2.4
Yoro,DEF,4.5,85,80,77,73,2.3,2.7,2.7,3.6
Ward-Prowse,MID,5.9,79,74,76,75,3.1,2.9,2.8,2.4
Beto,FWD,5.4,54,52,54,47,3.1,2.2,3.2,2.6
Richarlison,FWD,6.7,65,55,36,34,3.7,2.9,2.4,2.0
De Cuyper,DEF,4.5,76,71,74,74,2.7,3.0,2.1,3.2
Estève,DEF,4.0,90,89,88,89,2.4,3.5,2.3,2.8
Garner,MID,5.0,79,70,65,68,3.1,2.4,2.7,2.7
Toti,DEF,4.4,90,87,82,83,2.4,3.3,2.4,2.7
Tosin,DEF,4.5,77,66,65,52,3.4,2.7,2.9,1.9
M.Fernandes,MID,5.5,66,66,63,65,2.9,2.8,2.6,2.4
Frimpong,DEF,5.9,30,49,73,68,1.7,2.9,3.4,2.7
Bernardo,MID,6.4,60,58,55,57,2.9,2.2,3.0,2.6
Wan-Bissaka,DEF,4.4,86,85,84,81,3.1,3.1,2.7,1.7
