name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
Rúben,DEF,5.5,82,3.5,3.3,2.7,3.0,2.0
Guessand,MID,6.5,42,2.4,2.6,2.9,3.0,3.6
Ekdal,DEF,4.0,85,2.9,4.1,2.6,2.2,2.7
Xhaka,MID,5.0,88,3.1,2.8,2.9,2.8,2.7
Stach,MID,5.0,79,3.3,2.6,3.0,2.7,2.8
Andre Onana,GKP,5.0,86,1.4,3.0,3.9,2.8,3.2
O.Dango,MID,6.0,22,0.7,3.2,4.2,3.3,3.1
D. James,MID,5.5,66,3.5,2.4,2.8,2.7,2.9
E. Martinez,GKP,5.0,0,0.0,3.3,3.6,3.4,3.9
Kerkez,DEF,6.0,69,3.3,2.3,2.5,2.9,3.3
Gabriel,DEF,6.0,87,3.7,0.7,2.5,4.1,3.1
Todibo,DEF,4.5,83,3.7,2.4,2.7,2.7,2.6
Bassey,DEF,4.5,91,2.6,3.1,2.2,3.3,2.9
Diakité,DEF,4.5,52,1.2,3.8,2.8,3.3,3.0
De Ligt,DEF,5.0,86,2.7,3.0,3.7,2.1,2.6
De Cuyper,DEF,4.5,76,3.5,2.9,2.2,2.5,3.0
Kamara,MID,5.0,77,2.8,2.8,2.9,2.7,2.9
Ward-Prowse,MID,6.0,66,3.1,2.7,2.7,2.8,2.8
Edwards,MID,5.0,65,2.9,3.7,2.4,2.4,2.6
Toti,DEF,4.5,91,2.4,2.6,3.3,2.3,3.3
Tel,MID,6.5,54,3.7,2.4,3.0,2.6,2.3
Grealish,MID,6.5,56,2.5,2.9,2.9,3.0,2.4
Cullen,MID,5.0,88,2.8,3.1,2.7,2.5,2.8
Hermansen,GKP,4.5,46,1.8,2.9,2.9,3.0,3.1
Lukić,MID,5.0,81,2.8,2.9,2.4,2.8,2.8
Bentancur,MID,5.5,79,3.2,2.6,2.9,2.5,2.5
Diarra,MID,5.5,77,3.1,2.8,2.8,2.6,2.5
Livramento,DEF,5.0,79,2.6,2.3,2.8,3.4,2.6
Rodon,DEF,4.0,91,3.4,2.1,2.6,2.6,2.8
J. O'Brien,DEF,5.0,89,3.1,2.9,2.9,2.9,1.6
Hume,DEF,4.5,90,3.1,3.0,2.7,2.1,2.3
Flemming,FWD,5.5,48,2.4,3.4,2.6,2.3,2.6
Pau,DEF,4.5,78,2.7,2.4,2.6,2.5,3.0
Van de Ven,DEF,4.5,87,3.7,1.8,2.9,2.6,2.2
Lewis-Skelly,DEF,5.5,66,2.7,3.6,1.8,2.9,2.1
